Model,Train MAE,Test MAE,Train R²,Test R²,R² Difference
Linear Regression,5.708449671618723,5.864040234175979,0.7394093964705689,0.7217396000841414,0.017669796386427516
Decision Tree,1.1185188649299227,1.8890591763084736,0.9850181839461045,0.9549656698975152,0.03005251404858933
Random Forest,1.1592631069022588,1.7306083765832405,0.9858869863343279,0.964244632784892,0.02164235354943589
XGBoost,1.3361788649949968,1.833650487700081,0.9841294756904007,0.9652137692352614,0.01891570645513929
