Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
Turkey,Not specified,65 and over,Persons,Asthma,522.0,4636.0,11.25970664,Turkish,Not well or Not at all,North Africa and the Middle East,Middle East
Turkey,Not specified,65 and over,Male,Asthma,156.0,1874.0,8.324439701,Turkish,Not well or Not at all,North Africa and the Middle East,Middle East
Turkey,Not specified,65 and over,Female,Asthma,366.0,2762.0,13.2512672,Turkish,Not well or Not at all,North Africa and the Middle East,Middle East
Armenia,Not specified,00–44,Persons,Asthma,148.0,4727.0,3.130949862,Armenian,Very well or well,Southern and Central Asia,Central Asia
Armenia,Not specified,45–64,Persons,Asthma,92.0,2650.0,3.471698113,Armenian,Very well or well,Southern and Central Asia,Central Asia
Armenia,Not specified,65 and over,Persons,Asthma,104.0,2017.0,5.156172533,Armenian,Very well or well,Southern and Central Asia,Central Asia
"Southern Asia, nfd",Not specified,00–44,Persons,Asthma,85.0,2587.0,3.285659065,"Southern Asian Languages, nfd",Very well or well,Southern and Central Asia,Southern Asia
"Southern Asia, nfd",Not specified,45–64,Persons,Asthma,49.0,907.0,5.402425579,"Southern Asian Languages, nfd",Very well or well,Southern and Central Asia,Southern Asia
"Southern Asia, nfd",Not specified,65 and over,Persons,Asthma,47.0,594.0,7.912457912,"Southern Asian Languages, nfd",Very well or well,Southern and Central Asia,Southern Asia
"Southern Asia, nfd",Not specified,65 and over,Persons,Asthma,10.0,114.0,8.771929825,"Southern Asian Languages, nfd",Not well or Not at all,Southern and Central Asia,Southern Asia
India,Not specified,00–44,Persons,Asthma,252.0,11229.0,2.244189153,Kannada,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,45–64,Persons,Asthma,51.0,2227.0,2.290076336,Kannada,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,65 and over,Persons,Asthma,14.0,333.0,4.204204204,Kannada,Very well or well,Southern and Central Asia,Southern Asia
India,Not specified,00–44,Persons,Asthma,1714.0,59449.0,2.883143535,Malayalam,Very well or well,Southern and Central Asia,Southern Asia
