Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
"United Kingdom, Channel Islands and Isle of Ma",More than 10 years,45–64,Persons,Arthritis,203.0,1941.0,10.458526532715,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
"United Kingdom, Channel Islands and Isle of Ma",More than 10 years,65 and over,Persons,Arthritis,362.0,1373.0,26.3656227239621,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,0–10 years,00–44,Persons,Arthritis,1012.0,105865.0,0.95593444481178,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,0–10 years,00–44,Male,Arthritis,482.0,55107.0,0.87466202115883,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,0–10 years,00–44,Female,Arthritis,530.0,50758.0,1.04417037708341,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,0–10 years,45–64,Persons,Arthritis,1425.0,22483.0,6.33812213672552,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,0–10 years,45–64,Male,Arthritis,681.0,12870.0,5.29137529137529,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,0–10 years,45–64,Female,Arthritis,744.0,9613.0,7.7395194008114,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,0–10 years,65 and over,Persons,Arthritis,1402.0,6236.0,22.4823604874919,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,0–10 years,65 and over,Male,Arthritis,469.0,2875.0,16.3130434782608,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,0–10 years,65 and over,Female,Arthritis,933.0,3361.0,27.7595953585242,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,More than 10 years,00–44,Persons,Arthritis,2813.0,129976.0,2.16424570689973,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,More than 10 years,00–44,Male,Arthritis,1213.0,66085.0,1.83551486721646,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,More than 10 years,00–44,Female,Arthritis,1600.0,63891.0,2.50426507645834,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,More than 10 years,45–64,Persons,Arthritis,41289.0,300308.0,13.7488844786019,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,More than 10 years,45–64,Male,Arthritis,15769.0,153163.0,10.2955674673387,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,More than 10 years,45–64,Female,Arthritis,25520.0,147145.0,17.3434367460668,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,More than 10 years,65 and over,Persons,Arthritis,102912.0,308191.0,33.3922794630602,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,More than 10 years,65 and over,Male,Arthritis,38904.0,151534.0,25.6734462232898,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
England,More than 10 years,65 and over,Female,Arthritis,64008.0,156657.0,40.8586912809513,"Northern European Languages, nfd",Not specified,North-West Europe,United Kingdom
Isle of Man,More than 10 years,65 and over,Persons,Arthritis,85.0,279.0,30.4659498207885,"Celtic, nfd",Not specified,North-West Europe,United Kingdom
Northern Ireland,0–10 years,00–44,Persons,Arthritis,24.0,3185.0,0.75353218210361,Irish,Not specified,North-West Europe,United Kingdom
Northern Ireland,0–10 years,45–64,Persons,Arthritis,23.0,504.0,4.56349206349206,Irish,Not specified,North-West Europe,United Kingdom
Northern Ireland,More than 10 years,00–44,Persons,Arthritis,69.0,2563.0,2.69215762777994,Irish,Not specified,North-West Europe,United Kingdom
Northern Ireland,More than 10 years,45–64,Persons,Arthritis,793.0,6841.0,11.5918725332553,Irish,Not specified,North-West Europe,United Kingdom
Northern Ireland,More than 10 years,65 and over,Persons,Arthritis,2806.0,8951.0,31.3484526868506,Irish,Not specified,North-West Europe,United Kingdom
Scotland,0–10 years,00–44,Persons,Arthritis,130.0,11490.0,1.1314186248912,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,0–10 years,00–44,Male,Arthritis,67.0,5932.0,1.12946729602157,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,0–10 years,00–44,Female,Arthritis,63.0,5558.0,1.13350125944584,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,0–10 years,45–64,Persons,Arthritis,206.0,2908.0,7.08390646492434,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,0–10 years,45–64,Male,Arthritis,89.0,1631.0,5.45677498467198,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,0–10 years,45–64,Female,Arthritis,117.0,1277.0,9.16209866875489,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,0–10 years,65 and over,Persons,Arthritis,144.0,710.0,20.281690140845,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,0–10 years,65 and over,Male,Arthritis,44.0,319.0,13.7931034482758,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,0–10 years,65 and over,Female,Arthritis,100.0,391.0,25.5754475703324,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,More than 10 years,00–44,Persons,Arthritis,281.0,13915.0,2.0194035213798,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,More than 10 years,00–44,Male,Arthritis,104.0,7054.0,1.47434079954635,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,More than 10 years,00–44,Female,Arthritis,177.0,6861.0,2.57979886313948,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,More than 10 years,45–64,Persons,Arthritis,4967.0,37518.0,13.238978623594,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,More than 10 years,45–64,Male,Arthritis,1947.0,19014.0,10.2398232881035,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,More than 10 years,45–64,Female,Arthritis,3020.0,18504.0,16.3207955036748,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,More than 10 years,65 and over,Persons,Arthritis,14679.0,46123.0,31.8257702230991,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,More than 10 years,65 and over,Male,Arthritis,5307.0,22220.0,23.8838883888388,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Scotland,More than 10 years,65 and over,Female,Arthritis,9372.0,23903.0,39.2084675563736,Gaelic (Scotland),Not specified,North-West Europe,United Kingdom
Wales,0–10 years,00–44,Persons,Arthritis,35.0,3934.0,0.88967971530249,Welsh,Not specified,North-West Europe,United Kingdom
Wales,0–10 years,00–44,Male,Arthritis,17.0,2091.0,0.8130081300813,Welsh,Not specified,North-West Europe,United Kingdom
Wales,0–10 years,00–44,Female,Arthritis,18.0,1843.0,0.97666847531199,Welsh,Not specified,North-West Europe,United Kingdom
Wales,0–10 years,45–64,Persons,Arthritis,55.0,947.0,5.8078141499472,Welsh,Not specified,North-West Europe,United Kingdom
Wales,0–10 years,45–64,Male,Arthritis,20.0,543.0,3.68324125230202,Welsh,Not specified,North-West Europe,United Kingdom
Wales,0–10 years,45–64,Female,Arthritis,35.0,404.0,8.66336633663366,Welsh,Not specified,North-West Europe,United Kingdom
Wales,0–10 years,65 and over,Persons,Arthritis,51.0,223.0,22.8699551569506,Welsh,Not specified,North-West Europe,United Kingdom
Wales,0–10 years,65 and over,Male,Arthritis,16.0,101.0,15.8415841584158,Welsh,Not specified,North-West Europe,United Kingdom
Wales,0–10 years,65 and over,Female,Arthritis,35.0,122.0,28.6885245901639,Welsh,Not specified,North-West Europe,United Kingdom
Wales,More than 10 years,00–44,Persons,Arthritis,98.0,4187.0,2.34057797946023,Welsh,Not specified,North-West Europe,United Kingdom
Wales,More than 10 years,00–44,Male,Arthritis,54.0,2163.0,2.49653259361997,Welsh,Not specified,North-West Europe,United Kingdom
Wales,More than 10 years,00–44,Female,Arthritis,44.0,2024.0,2.17391304347826,Welsh,Not specified,North-West Europe,United Kingdom
Wales,More than 10 years,45–64,Persons,Arthritis,1280.0,9466.0,13.5220790196492,Welsh,Not specified,North-West Europe,United Kingdom
Wales,More than 10 years,45–64,Male,Arthritis,502.0,4977.0,10.0863974281695,Welsh,Not specified,North-West Europe,United Kingdom
Wales,More than 10 years,45–64,Female,Arthritis,778.0,4489.0,17.3312541768768,Welsh,Not specified,North-West Europe,United Kingdom
Wales,More than 10 years,65 and over,Persons,Arthritis,3067.0,9335.0,32.8548473486877,Welsh,Not specified,North-West Europe,United Kingdom
Wales,More than 10 years,65 and over,Male,Arthritis,1233.0,4754.0,25.9360538493899,Welsh,Not specified,North-West Europe,United Kingdom
Wales,More than 10 years,65 and over,Female,Arthritis,1834.0,4581.0,40.034926871862,Welsh,Not specified,North-West Europe,United Kingdom
Guernsey,More than 10 years,65 and over,Persons,Arthritis,88.0,266.0,33.0827067669172,French,Not specified,North-West Europe,United Kingdom
Jersey,More than 10 years,65 and over,Persons,Arthritis,126.0,351.0,35.8974358974359,French,Not specified,North-West Europe,United Kingdom
Ireland,0–10 years,00–44,Persons,Arthritis,197.0,24746.0,0.79608825668794,Irish,Not specified,North-West Europe,Ireland
Ireland,0–10 years,00–44,Male,Arthritis,106.0,12664.0,0.83701831964624,Irish,Not specified,North-West Europe,Ireland
Ireland,0–10 years,00–44,Female,Arthritis,91.0,12082.0,0.7531865585168,Irish,Not specified,North-West Europe,Ireland
Ireland,0–10 years,45–64,Persons,Arthritis,73.0,1958.0,3.72829417773238,Irish,Not specified,North-West Europe,Ireland
Ireland,0–10 years,45–64,Male,Arthritis,27.0,1105.0,2.44343891402714,Irish,Not specified,North-West Europe,Ireland
Ireland,0–10 years,45–64,Female,Arthritis,46.0,853.0,5.39273153575615,Irish,Not specified,North-West Europe,Ireland
Ireland,0–10 years,65 and over,Persons,Arthritis,35.0,207.0,16.9082125603864,Irish,Not specified,North-West Europe,Ireland
Ireland,0–10 years,65 and over,Female,Arthritis,24.0,121.0,19.8347107438016,Irish,Not specified,North-West Europe,Ireland
Ireland,More than 10 years,00–44,Persons,Arthritis,280.0,16371.0,1.71034145745525,Irish,Not specified,North-West Europe,Ireland
Ireland,More than 10 years,00–44,Male,Arthritis,158.0,9455.0,1.67107350608143,Irish,Not specified,North-West Europe,Ireland
Ireland,More than 10 years,00–44,Female,Arthritis,122.0,6916.0,1.76402544823597,Irish,Not specified,North-West Europe,Ireland
Ireland,More than 10 years,45–64,Persons,Arthritis,1611.0,17970.0,8.96494156928213,Irish,Not specified,North-West Europe,Ireland
Ireland,More than 10 years,45–64,Male,Arthritis,637.0,9482.0,6.71799198481333,Irish,Not specified,North-West Europe,Ireland
Ireland,More than 10 years,45–64,Female,Arthritis,974.0,8488.0,11.4750235626767,Irish,Not specified,North-West Europe,Ireland
Ireland,More than 10 years,65 and over,Persons,Arthritis,4548.0,15805.0,28.7757038911736,Irish,Not specified,North-West Europe,Ireland
Ireland,More than 10 years,65 and over,Male,Arthritis,1781.0,7897.0,22.552868177789,Irish,Not specified,North-West Europe,Ireland
Ireland,More than 10 years,65 and over,Female,Arthritis,2767.0,7908.0,34.9898836621143,Irish,Not specified,North-West Europe,Ireland
Austria,More than 10 years,00–44,Persons,Arthritis,28.0,1228.0,2.2801302931596,German,Not specified,North-West Europe,Western Europe
Austria,More than 10 years,45–64,Persons,Arthritis,291.0,2857.0,10.1855092754637,German,Not specified,North-West Europe,Western Europe
Austria,More than 10 years,65 and over,Persons,Arthritis,2454.0,8458.0,29.0139512887207,German,Not specified,North-West Europe,Western Europe
Belgium,More than 10 years,00–44,Persons,Arthritis,20.0,1203.0,1.66251039068994,Dutch,Not specified,North-West Europe,Western Europe
Belgium,More than 10 years,45–64,Persons,Arthritis,161.0,1816.0,8.86563876651982,Dutch,Not specified,North-West Europe,Western Europe
Belgium,More than 10 years,65 and over,Persons,Arthritis,438.0,1647.0,26.5938069216757,Dutch,Not specified,North-West Europe,Western Europe
France,0–10 years,00–44,Persons,Arthritis,52.0,14102.0,0.36874202240816,French,Not specified,North-West Europe,Western Europe
France,0–10 years,45–64,Persons,Arthritis,26.0,1190.0,2.18487394957983,French,Not specified,North-West Europe,Western Europe
France,0–10 years,65 and over,Persons,Arthritis,13.0,108.0,12.037037037037,French,Not specified,North-West Europe,Western Europe
France,More than 10 years,00–44,Persons,Arthritis,84.0,6521.0,1.28814598987885,French,Not specified,North-West Europe,Western Europe
France,More than 10 years,45–64,Persons,Arthritis,600.0,7646.0,7.84724038713052,French,Not specified,North-West Europe,Western Europe
France,More than 10 years,65 and over,Persons,Arthritis,1245.0,4996.0,24.919935948759,French,Not specified,North-West Europe,Western Europe
Germany,0–10 years,00–44,Persons,Arthritis,67.0,11399.0,0.58777085709272,German,Not specified,North-West Europe,Western Europe
Germany,0–10 years,00–44,Male,Arthritis,24.0,4590.0,0.52287581699346,German,Not specified,North-West Europe,Western Europe
Germany,0–10 years,00–44,Female,Arthritis,43.0,6809.0,0.63151710970773,German,Not specified,North-West Europe,Western Europe
Germany,0–10 years,45–64,Persons,Arthritis,54.0,1656.0,3.26086956521739,German,Not specified,North-West Europe,Western Europe
Germany,0–10 years,45–64,Male,Arthritis,17.0,915.0,1.85792349726776,German,Not specified,North-West Europe,Western Europe
Germany,0–10 years,45–64,Female,Arthritis,37.0,741.0,4.99325236167341,German,Not specified,North-West Europe,Western Europe
Germany,0–10 years,65 and over,Persons,Arthritis,41.0,270.0,15.1851851851851,German,Not specified,North-West Europe,Western Europe
Germany,0–10 years,65 and over,Male,Arthritis,10.0,115.0,8.69565217391304,German,Not specified,North-West Europe,Western Europe
Germany,0–10 years,65 and over,Female,Arthritis,31.0,155.0,20.0,German,Not specified,North-West Europe,Western Europe
Germany,More than 10 years,00–44,Persons,Arthritis,234.0,12143.0,1.92703615251585,German,Not specified,North-West Europe,Western Europe
Germany,More than 10 years,00–44,Male,Arthritis,89.0,5286.0,1.6836927733636,German,Not specified,North-West Europe,Western Europe
Germany,More than 10 years,00–44,Female,Arthritis,145.0,6857.0,2.11462738807058,German,Not specified,North-West Europe,Western Europe
Germany,More than 10 years,45–64,Persons,Arthritis,2313.0,21686.0,10.6658673798764,German,Not specified,North-West Europe,Western Europe
Germany,More than 10 years,45–64,Male,Arthritis,797.0,10211.0,7.8053080011752,German,Not specified,North-West Europe,Western Europe
Germany,More than 10 years,45–64,Female,Arthritis,1516.0,11475.0,13.2113289760348,German,Not specified,North-West Europe,Western Europe
Germany,More than 10 years,65 and over,Persons,Arthritis,14381.0,48477.0,29.6656146213668,German,Not specified,North-West Europe,Western Europe
Germany,More than 10 years,65 and over,Male,Arthritis,5062.0,23349.0,21.6797293245963,German,Not specified,North-West Europe,Western Europe
Germany,More than 10 years,65 and over,Female,Arthritis,9319.0,25128.0,37.0861190703597,German,Not specified,North-West Europe,Western Europe
Netherlands,0–10 years,00–44,Persons,Arthritis,34.0,4955.0,0.68617558022199,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,0–10 years,00–44,Male,Arthritis,17.0,2270.0,0.74889867841409,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,0–10 years,00–44,Female,Arthritis,17.0,2685.0,0.63314711359404,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,0–10 years,45–64,Persons,Arthritis,27.0,880.0,3.06818181818181,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,0–10 years,45–64,Male,Arthritis,11.0,516.0,2.13178294573643,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,0–10 years,45–64,Female,Arthritis,16.0,364.0,4.39560439560439,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,0–10 years,65 and over,Persons,Arthritis,28.0,173.0,16.1849710982659,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,More than 10 years,00–44,Persons,Arthritis,84.0,4746.0,1.76991150442477,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,More than 10 years,00–44,Male,Arthritis,34.0,2351.0,1.44619310931518,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,More than 10 years,00–44,Female,Arthritis,50.0,2395.0,2.08768267223382,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,More than 10 years,45–64,Persons,Arthritis,1309.0,11990.0,10.9174311926605,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,More than 10 years,45–64,Male,Arthritis,459.0,6088.0,7.53942181340341,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,More than 10 years,45–64,Female,Arthritis,850.0,5902.0,14.4018976618095,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,More than 10 years,65 and over,Persons,Arthritis,11477.0,40137.0,28.5945636196028,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,More than 10 years,65 and over,Male,Arthritis,4328.0,20198.0,21.4278641449648,Dutch,Not specified,North-West Europe,Western Europe
Netherlands,More than 10 years,65 and over,Female,Arthritis,7149.0,19939.0,35.8543557851446,Dutch,Not specified,North-West Europe,Western Europe
Switzerland,More than 10 years,00–44,Persons,Arthritis,33.0,2436.0,1.35467980295566,"Swiss, so described",Not specified,North-West Europe,Western Europe
Switzerland,More than 10 years,45–64,Persons,Arthritis,313.0,3959.0,7.90603687799949,"Swiss, so described",Not specified,North-West Europe,Western Europe
Switzerland,More than 10 years,65 and over,Persons,Arthritis,745.0,3686.0,20.2116115029842,"Swiss, so described",Not specified,North-West Europe,Western Europe
Denmark,More than 10 years,00–44,Persons,Arthritis,22.0,1126.0,1.9538188277087,Danish,Not specified,North-West Europe,Northern Europe
Denmark,More than 10 years,45–64,Persons,Arthritis,305.0,2945.0,10.3565365025466,Danish,Not specified,North-West Europe,Northern Europe
Denmark,More than 10 years,65 and over,Persons,Arthritis,816.0,3183.0,25.636192271442,Danish,Not specified,North-West Europe,Northern Europe
Finland,More than 10 years,00–44,Persons,Arthritis,12.0,696.0,1.72413793103448,Finnish,Not specified,North-West Europe,Northern Europe
Finland,More than 10 years,45–64,Persons,Arthritis,337.0,2115.0,15.9338061465721,Finnish,Not specified,North-West Europe,Northern Europe
Finland,More than 10 years,65 and over,Persons,Arthritis,1017.0,3345.0,30.4035874439461,Finnish,Not specified,North-West Europe,Northern Europe
Norway,More than 10 years,00–44,Persons,Arthritis,16.0,942.0,1.69851380042462,Norwegian,Not specified,North-West Europe,Northern Europe
Norway,More than 10 years,45–64,Persons,Arthritis,74.0,764.0,9.68586387434555,Norwegian,Not specified,North-West Europe,Northern Europe
Norway,More than 10 years,65 and over,Persons,Arthritis,183.0,699.0,26.1802575107296,Norwegian,Not specified,North-West Europe,Northern Europe
Sweden,More than 10 years,00–44,Persons,Arthritis,39.0,2389.0,1.63248221012976,Swedish,Not specified,North-West Europe,Northern Europe
Sweden,More than 10 years,45–64,Persons,Arthritis,296.0,2925.0,10.1196581196581,Swedish,Not specified,North-West Europe,Northern Europe
Sweden,More than 10 years,65 and over,Persons,Arthritis,422.0,1675.0,25.1940298507462,Swedish,Not specified,North-West Europe,Northern Europe
Gibraltar,More than 10 years,65 and over,Persons,Arthritis,41.0,129.0,31.7829457364341,Spanish,Not specified,Southern and Eastern Europe,Southern Europe
Italy,0–10 years,00–44,Persons,Arthritis,59.0,15565.0,0.37905557340186,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,0–10 years,00–44,Male,Arthritis,34.0,9133.0,0.37227636045111,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,0–10 years,00–44,Female,Arthritis,25.0,6432.0,0.3886815920398,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,0–10 years,45–64,Persons,Arthritis,37.0,1676.0,2.20763723150358,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,0–10 years,45–64,Male,Arthritis,19.0,1035.0,1.83574879227053,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,0–10 years,45–64,Female,Arthritis,18.0,641.0,2.80811232449297,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,0–10 years,65 and over,Persons,Arthritis,37.0,266.0,13.9097744360902,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,0–10 years,65 and over,Male,Arthritis,16.0,137.0,11.6788321167883,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,0–10 years,65 and over,Female,Arthritis,21.0,129.0,16.2790697674418,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,More than 10 years,00–44,Persons,Arthritis,80.0,5670.0,1.41093474426807,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,More than 10 years,00–44,Male,Arthritis,44.0,3277.0,1.34269148611534,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,More than 10 years,00–44,Female,Arthritis,36.0,2393.0,1.50438779774341,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,More than 10 years,45–64,Persons,Arthritis,2997.0,25578.0,11.7171006333567,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,More than 10 years,45–64,Male,Arthritis,1147.0,13675.0,8.38756855575868,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,More than 10 years,45–64,Female,Arthritis,1850.0,11903.0,15.5423002604385,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,More than 10 years,65 and over,Persons,Arthritis,33615.0,101800.0,33.0206286836935,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,More than 10 years,65 and over,Male,Arthritis,11551.0,49254.0,23.4519023835627,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Italy,More than 10 years,65 and over,Female,Arthritis,22064.0,52546.0,41.9898755376241,Italian,Not specified,Southern and Eastern Europe,Southern Europe
Malta,More than 10 years,00–44,Persons,Arthritis,24.0,1006.0,2.38568588469184,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
Malta,More than 10 years,45–64,Persons,Arthritis,962.0,6321.0,15.219110900174,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
Malta,More than 10 years,65 and over,Persons,Arthritis,8179.0,24922.0,32.8183933873685,Maltese,Not specified,Southern and Eastern Europe,Southern Europe
Portugal,0–10 years,00–44,Persons,Arthritis,12.0,1592.0,0.7537688442211,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
Portugal,0–10 years,45–64,Persons,Arthritis,11.0,326.0,3.37423312883435,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
Portugal,More than 10 years,00–44,Persons,Arthritis,55.0,2567.0,2.14257888585897,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
Portugal,More than 10 years,45–64,Persons,Arthritis,670.0,5776.0,11.5997229916897,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
Portugal,More than 10 years,65 and over,Persons,Arthritis,1627.0,5700.0,28.5438596491228,Portuguese,Not specified,Southern and Eastern Europe,Southern Europe
Spain,More than 10 years,00–44,Persons,Arthritis,24.0,1357.0,1.76860722181282,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
Spain,More than 10 years,45–64,Persons,Arthritis,439.0,4039.0,10.8690269868779,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
Spain,More than 10 years,65 and over,Persons,Arthritis,1408.0,4814.0,29.248026589115,"Iberian Romance, nfd",Not specified,Southern and Eastern Europe,Southern Europe
"South Eastern Europe, nfd",More than 10 years,00–44,Persons,Arthritis,38.0,1924.0,1.97505197505197,"South Slavic, nfd",Not specified,Southern and Eastern Europe,South Eastern Europe
"South Eastern Europe, nfd",More than 10 years,45–64,Persons,Arthritis,938.0,6788.0,13.8185032410135,"South Slavic, nfd",Not specified,Southern and Eastern Europe,South Eastern Europe
"South Eastern Europe, nfd",More than 10 years,65 and over,Persons,Arthritis,2883.0,9294.0,31.0200129115558,"South Slavic, nfd",Not specified,Southern and Eastern Europe,South Eastern Europe
Albania,More than 10 years,00–44,Persons,Arthritis,15.0,954.0,1.57232704402515,Albanian,Not specified,Southern and Eastern Europe,South Eastern Europe
Albania,More than 10 years,45–64,Persons,Arthritis,92.0,810.0,11.358024691358,Albanian,Not specified,Southern and Eastern Europe,South Eastern Europe
Albania,More than 10 years,65 and over,Persons,Arthritis,109.0,428.0,25.4672897196261,Albanian,Not specified,Southern and Eastern Europe,South Eastern Europe
Bosnia and Herzegovina,More than 10 years,00–44,Persons,Arthritis,140.0,7973.0,1.75592625109745,Bosnian,Not specified,Southern and Eastern Europe,South Eastern Europe
Bosnia and Herzegovina,More than 10 years,45–64,Persons,Arthritis,1340.0,10097.0,13.2712686936713,Bosnian,Not specified,Southern and Eastern Europe,South Eastern Europe
Bosnia and Herzegovina,More than 10 years,65 and over,Persons,Arthritis,1748.0,5922.0,29.5170550489699,Bosnian,Not specified,Southern and Eastern Europe,South Eastern Europe
Bulgaria,More than 10 years,65 and over,Persons,Arthritis,185.0,714.0,25.9103641456582,Bulgarian,Not specified,Southern and Eastern Europe,South Eastern Europe
Croatia,More than 10 years,00–44,Persons,Arthritis,56.0,4413.0,1.26897801948787,Croatian,Not specified,Southern and Eastern Europe,South Eastern Europe
Croatia,More than 10 years,45–64,Persons,Arthritis,1545.0,12281.0,12.5804087615015,Croatian,Not specified,Southern and Eastern Europe,South Eastern Europe
Croatia,More than 10 years,65 and over,Persons,Arthritis,7136.0,22834.0,31.2516422878164,Croatian,Not specified,Southern and Eastern Europe,South Eastern Europe
Cyprus,More than 10 years,00–44,Persons,Arthritis,22.0,727.0,3.0261348005502,"Cypriot, so described",Not specified,Southern and Eastern Europe,South Eastern Europe
Cyprus,More than 10 years,45–64,Persons,Arthritis,725.0,5605.0,12.9348795718108,"Cypriot, so described",Not specified,Southern and Eastern Europe,South Eastern Europe
Cyprus,More than 10 years,65 and over,Persons,Arthritis,2928.0,8812.0,33.2274171584203,"Cypriot, so described",Not specified,Southern and Eastern Europe,South Eastern Europe
North Macedonia,More than 10 years,00–44,Persons,Arthritis,88.0,5331.0,1.65072219095854,Macedonian,Not specified,Southern and Eastern Europe,South Eastern Europe
North Macedonia,More than 10 years,45–64,Persons,Arthritis,1618.0,14275.0,11.3345008756567,Macedonian,Not specified,Southern and Eastern Europe,South Eastern Europe
North Macedonia,More than 10 years,65 and over,Persons,Arthritis,4526.0,17293.0,26.1724397154918,Macedonian,Not specified,Southern and Eastern Europe,South Eastern Europe
Greece,0–10 years,00–44,Persons,Arthritis,23.0,4500.0,0.51111111111111,Greek,Not specified,Southern and Eastern Europe,South Eastern Europe
Greece,0–10 years,45–64,Persons,Arthritis,34.0,1147.0,2.9642545771578,Greek,Not specified,Southern and Eastern Europe,South Eastern Europe
Greece,0–10 years,65 and over,Persons,Arthritis,33.0,157.0,21.0191082802547,Greek,Not specified,Southern and Eastern Europe,South Eastern Europe
Greece,More than 10 years,00–44,Persons,Arthritis,43.0,2894.0,1.48583275742916,Greek,Not specified,Southern and Eastern Europe,South Eastern Europe
Greece,More than 10 years,45–64,Persons,Arthritis,1811.0,15125.0,11.9735537190082,Greek,Not specified,Southern and Eastern Europe,South Eastern Europe
Greece,More than 10 years,65 and over,Persons,Arthritis,19237.0,62028.0,31.0134132972206,Greek,Not specified,Southern and Eastern Europe,South Eastern Europe
Moldova,More than 10 years,65 and over,Persons,Arthritis,54.0,161.0,33.5403726708074,Romanian,Not specified,Southern and Eastern Europe,South Eastern Europe
Romania,0–10 years,65 and over,Persons,Arthritis,24.0,106.0,22.6415094339622,Romanian,Not specified,Southern and Eastern Europe,South Eastern Europe
Romania,More than 10 years,00–44,Persons,Arthritis,73.0,3378.0,2.16104203670811,Romanian,Not specified,Southern and Eastern Europe,South Eastern Europe
Romania,More than 10 years,45–64,Persons,Arthritis,528.0,5379.0,9.8159509202454,Romanian,Not specified,Southern and Eastern Europe,South Eastern Europe
