,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English
48,"Melanesia, nfd",More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
49,"Melanesia, nfd",More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
50,"Melanesia, nfd",More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
51,"Melanesia, nfd",More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
52,"Melanesia, nfd",More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
53,"Melanesia, nfd",More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
54,New Caledonia,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,French,Not specified
55,New Caledonia,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,French,Not specified
56,New Caledonia,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,French,Not specified
57,New Caledonia,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,French,Not specified
58,New Caledonia,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,French,Not specified
59,New Caledonia,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,French,Not specified
60,New Caledonia,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,French,Not specified
61,New Caledonia,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,French,Not specified
62,New Caledonia,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,French,Not specified
63,New Caledonia,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,French,Not specified
64,New Caledonia,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,French,Not specified
65,New Caledonia,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,French,Not specified
66,New Caledonia,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,French,Not specified
67,New Caledonia,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,French,Not specified
68,New Caledonia,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,French,Not specified
69,New Caledonia,More than 10 years,65 and over,Persons,Arthritis,75.0,289.0,25.9515570934256,French,Not specified
70,New Caledonia,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,French,Not specified
71,New Caledonia,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,French,Not specified
72,Papua New Guinea,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
73,Papua New Guinea,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
74,Papua New Guinea,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
75,Papua New Guinea,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
76,Papua New Guinea,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
77,Papua New Guinea,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
78,Papua New Guinea,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
79,Papua New Guinea,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
80,Papua New Guinea,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
81,Papua New Guinea,More than 10 years,00–44,Persons,Arthritis,120.0,6479.0,1.85213767556721,"Papua New Guinea Languages, nfd",Not specified
82,Papua New Guinea,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
83,Papua New Guinea,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
84,Papua New Guinea,More than 10 years,45–64,Persons,Arthritis,1469.0,13395.0,10.9667786487495,"Papua New Guinea Languages, nfd",Not specified
85,Papua New Guinea,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
86,Papua New Guinea,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
87,Papua New Guinea,More than 10 years,65 and over,Persons,Arthritis,940.0,3773.0,24.9138616485555,"Papua New Guinea Languages, nfd",Not specified
88,Papua New Guinea,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
89,Papua New Guinea,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Papua New Guinea Languages, nfd",Not specified
90,Solomon Islands,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
91,Solomon Islands,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
92,Solomon Islands,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
93,Solomon Islands,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
94,Solomon Islands,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
95,Solomon Islands,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
96,Solomon Islands,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
97,Solomon Islands,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
98,Solomon Islands,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
99,Solomon Islands,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
100,Solomon Islands,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
101,Solomon Islands,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
102,Solomon Islands,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
103,Solomon Islands,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
104,Solomon Islands,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
105,Solomon Islands,More than 10 years,65 and over,Persons,Arthritis,49.0,190.0,25.7894736842105,Solomon Islands Pijin,Not specified
106,Solomon Islands,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
107,Solomon Islands,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Solomon Islands Pijin,Not specified
108,Vanuatu,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Bislama,Not specified
109,Vanuatu,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified
110,Vanuatu,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified
111,Vanuatu,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Bislama,Not specified
112,Vanuatu,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified
113,Vanuatu,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified
114,Vanuatu,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Bislama,Not specified
115,Vanuatu,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified
116,Vanuatu,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified
117,Vanuatu,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Bislama,Not specified
118,Vanuatu,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified
119,Vanuatu,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified
120,Vanuatu,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Bislama,Not specified
121,Vanuatu,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified
122,Vanuatu,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified
123,Vanuatu,More than 10 years,65 and over,Persons,Arthritis,46.0,185.0,24.8648648648648,Bislama,Not specified
124,Vanuatu,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Bislama,Not specified
125,Vanuatu,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Bislama,Not specified
126,"Micronesia, nfd",0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
127,"Micronesia, nfd",0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
128,"Micronesia, nfd",0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
129,"Micronesia, nfd",0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
130,"Micronesia, nfd",0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
131,"Micronesia, nfd",0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
132,"Micronesia, nfd",0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
133,"Micronesia, nfd",0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
134,"Micronesia, nfd",0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
135,"Micronesia, nfd",More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
136,"Micronesia, nfd",More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
137,"Micronesia, nfd",More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
138,"Micronesia, nfd",More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
139,"Micronesia, nfd",More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
140,"Micronesia, nfd",More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
141,"Micronesia, nfd",More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
142,"Micronesia, nfd",More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
143,"Micronesia, nfd",More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified
144,Guam,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
145,Guam,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
146,Guam,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
147,Guam,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
148,Guam,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
149,Guam,0–10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
150,Guam,0–10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
151,Guam,0–10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
152,Guam,0–10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
153,Guam,More than 10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
154,Guam,More than 10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
155,Guam,More than 10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
156,Guam,More than 10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
157,Guam,More than 10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
158,Guam,More than 10 years,45–64,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
159,Guam,More than 10 years,65 and over,Persons,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
160,Guam,More than 10 years,65 and over,Male,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
161,Guam,More than 10 years,65 and over,Female,Arthritis,0.0,0.0,0.0,Tagalog,Not specified
162,Kiribati,0–10 years,00–44,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
163,Kiribati,0–10 years,00–44,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
164,Kiribati,0–10 years,00–44,Female,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
165,Kiribati,0–10 years,45–64,Persons,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
166,Kiribati,0–10 years,45–64,Male,Arthritis,0.0,0.0,0.0,Gilbertese,Not specified
