,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English
8917,"Congo, Democratic Republic of",0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Lingala,Not specified
8918,"Congo, Democratic Republic of",0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Lingala,Not specified
8919,"Congo, Democratic Republic of",More than 10 years,00–44,Persons,Asthma,20.0,1476.0,1.3550135501355,Lingala,Not specified
8920,"Congo, Democratic Republic of",More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,Lingala,Not specified
8921,"Congo, Democratic Republic of",More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,Lingala,Not specified
8922,"Congo, Democratic Republic of",More than 10 years,45–64,Persons,Asthma,14.0,615.0,2.27642276422764,Lingala,Not specified
8923,"Congo, Democratic Republic of",More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,Lingala,Not specified
8924,"Congo, Democratic Republic of",More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,Lingala,Not specified
8925,"Congo, Democratic Republic of",More than 10 years,65 and over,Persons,Asthma,10.0,143.0,6.99300699300699,Lingala,Not specified
8926,"Congo, Democratic Republic of",More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Lingala,Not specified
8927,"Congo, Democratic Republic of",More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Lingala,Not specified
8928,Cote d'Ivoire,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8929,Cote d'Ivoire,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
8930,Cote d'Ivoire,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
8931,Cote d'Ivoire,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8932,Cote d'Ivoire,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
8933,Cote d'Ivoire,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
8934,Cote d'Ivoire,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8935,Cote d'Ivoire,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
8936,Cote d'Ivoire,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
8937,Cote d'Ivoire,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8938,Cote d'Ivoire,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
8939,Cote d'Ivoire,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
8940,Cote d'Ivoire,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8941,Cote d'Ivoire,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
8942,Cote d'Ivoire,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
8943,Cote d'Ivoire,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8944,Cote d'Ivoire,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
8945,Cote d'Ivoire,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
8946,Equatorial Guinea,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Spanish,Not specified
8947,Equatorial Guinea,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,Spanish,Not specified
8948,Equatorial Guinea,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,Spanish,Not specified
8949,Equatorial Guinea,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Spanish,Not specified
8950,Equatorial Guinea,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,Spanish,Not specified
8951,Equatorial Guinea,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,Spanish,Not specified
8952,Equatorial Guinea,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Spanish,Not specified
8953,Equatorial Guinea,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Spanish,Not specified
8954,Equatorial Guinea,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Spanish,Not specified
8955,Equatorial Guinea,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Spanish,Not specified
8956,Equatorial Guinea,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,Spanish,Not specified
8957,Equatorial Guinea,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,Spanish,Not specified
8958,Equatorial Guinea,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Spanish,Not specified
8959,Equatorial Guinea,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,Spanish,Not specified
8960,Equatorial Guinea,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,Spanish,Not specified
8961,Equatorial Guinea,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Spanish,Not specified
8962,Equatorial Guinea,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Spanish,Not specified
8963,Equatorial Guinea,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Spanish,Not specified
8964,Gabon,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8965,Gabon,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
8966,Gabon,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
8967,Gabon,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8968,Gabon,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
8969,Gabon,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
8970,Gabon,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8971,Gabon,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
8972,Gabon,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
8973,Gabon,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8974,Gabon,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
8975,Gabon,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
8976,Gabon,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8977,Gabon,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
8978,Gabon,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
8979,Gabon,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
8980,Gabon,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
8981,Gabon,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
8982,Gambia,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8983,Gambia,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8984,Gambia,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8985,Gambia,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8986,Gambia,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8987,Gambia,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8988,Gambia,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8989,Gambia,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8990,Gambia,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8991,Gambia,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8992,Gambia,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8993,Gambia,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8994,Gambia,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8995,Gambia,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8996,Gambia,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8997,Gambia,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8998,Gambia,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Mandinka,Not specified
8999,Gambia,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Mandinka,Not specified
9000,Ghana,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Akan,Not specified
9001,Ghana,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,Akan,Not specified
9002,Ghana,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,Akan,Not specified
9003,Ghana,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Akan,Not specified
9004,Ghana,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,Akan,Not specified
9005,Ghana,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,Akan,Not specified
9006,Ghana,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Akan,Not specified
9007,Ghana,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Akan,Not specified
9008,Ghana,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Akan,Not specified
9009,Ghana,More than 10 years,00–44,Persons,Asthma,56.0,1602.0,3.49563046192259,Akan,Not specified
9010,Ghana,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,Akan,Not specified
9011,Ghana,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,Akan,Not specified
9012,Ghana,More than 10 years,45–64,Persons,Asthma,56.0,1332.0,4.2042042042042,Akan,Not specified
9013,Ghana,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,Akan,Not specified
9014,Ghana,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,Akan,Not specified
9015,Ghana,More than 10 years,65 and over,Persons,Asthma,23.0,380.0,6.05263157894736,Akan,Not specified
9016,Ghana,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Akan,Not specified
9017,Ghana,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Akan,Not specified
9018,Guinea,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9019,Guinea,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
9020,Guinea,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
9021,Guinea,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9022,Guinea,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
9023,Guinea,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
9024,Guinea,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9025,Guinea,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
9026,Guinea,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
9027,Guinea,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9028,Guinea,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
9029,Guinea,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
9030,Guinea,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9031,Guinea,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
9032,Guinea,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
9033,Guinea,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9034,Guinea,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
9035,Guinea,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
9036,Guinea-Bissau,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9037,Guinea-Bissau,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9038,Guinea-Bissau,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9039,Guinea-Bissau,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9040,Guinea-Bissau,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9041,Guinea-Bissau,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9042,Guinea-Bissau,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9043,Guinea-Bissau,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9044,Guinea-Bissau,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9045,Guinea-Bissau,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9046,Guinea-Bissau,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9047,Guinea-Bissau,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9048,Guinea-Bissau,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9049,Guinea-Bissau,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9050,Guinea-Bissau,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9051,Guinea-Bissau,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9052,Guinea-Bissau,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9053,Guinea-Bissau,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9054,Liberia,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Bassa,Not specified
9055,Liberia,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,Bassa,Not specified
9056,Liberia,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,Bassa,Not specified
9057,Liberia,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Bassa,Not specified
9058,Liberia,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,Bassa,Not specified
9059,Liberia,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,Bassa,Not specified
9060,Liberia,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Bassa,Not specified
9061,Liberia,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Bassa,Not specified
9062,Liberia,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Bassa,Not specified
9063,Liberia,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Bassa,Not specified
9064,Liberia,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,Bassa,Not specified
9065,Liberia,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,Bassa,Not specified
9066,Liberia,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Bassa,Not specified
9067,Liberia,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,Bassa,Not specified
9068,Liberia,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,Bassa,Not specified
9069,Liberia,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Bassa,Not specified
9070,Liberia,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Bassa,Not specified
9071,Liberia,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Bassa,Not specified
9072,Mali,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9073,Mali,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
9074,Mali,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
9075,Mali,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9076,Mali,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
9077,Mali,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
9078,Mali,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9079,Mali,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
9080,Mali,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
9081,Mali,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9082,Mali,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
9083,Mali,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
9084,Mali,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9085,Mali,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
9086,Mali,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
9087,Mali,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9088,Mali,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
9089,Mali,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
9090,Mauritania,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Arabic,Not specified
9091,Mauritania,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,Arabic,Not specified
9092,Mauritania,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,Arabic,Not specified
9093,Mauritania,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Arabic,Not specified
9094,Mauritania,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,Arabic,Not specified
9095,Mauritania,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,Arabic,Not specified
9096,Mauritania,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Arabic,Not specified
9097,Mauritania,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Arabic,Not specified
9098,Mauritania,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Arabic,Not specified
9099,Mauritania,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Arabic,Not specified
9100,Mauritania,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,Arabic,Not specified
9101,Mauritania,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,Arabic,Not specified
9102,Mauritania,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Arabic,Not specified
9103,Mauritania,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,Arabic,Not specified
9104,Mauritania,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,Arabic,Not specified
9105,Mauritania,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Arabic,Not specified
9106,Mauritania,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Arabic,Not specified
9107,Mauritania,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Arabic,Not specified
9108,Niger,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9109,Niger,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
9110,Niger,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
9111,Niger,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9112,Niger,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
9113,Niger,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
9114,Niger,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9115,Niger,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
9116,Niger,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
9117,Niger,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9118,Niger,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
9119,Niger,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
9120,Niger,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9121,Niger,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
9122,Niger,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
9123,Niger,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9124,Niger,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
9125,Niger,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
9126,Nigeria,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9127,Nigeria,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9128,Nigeria,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9129,Nigeria,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9130,Nigeria,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9131,Nigeria,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9132,Nigeria,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9133,Nigeria,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9134,Nigeria,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9135,Nigeria,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9136,Nigeria,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9137,Nigeria,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9138,Nigeria,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9139,Nigeria,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9140,Nigeria,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9141,Nigeria,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9142,Nigeria,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9143,Nigeria,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Yoruba,Not specified
9144,Sao Tome and Principe,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9145,Sao Tome and Principe,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9146,Sao Tome and Principe,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9147,Sao Tome and Principe,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9148,Sao Tome and Principe,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9149,Sao Tome and Principe,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9150,Sao Tome and Principe,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9151,Sao Tome and Principe,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9152,Sao Tome and Principe,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9153,Sao Tome and Principe,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9154,Sao Tome and Principe,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9155,Sao Tome and Principe,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9156,Sao Tome and Principe,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9157,Sao Tome and Principe,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9158,Sao Tome and Principe,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9159,Sao Tome and Principe,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9160,Sao Tome and Principe,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9161,Sao Tome and Principe,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Portuguese,Not specified
9162,Senegal,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9163,Senegal,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
9164,Senegal,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
9165,Senegal,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9166,Senegal,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
9167,Senegal,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
9168,Senegal,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9169,Senegal,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
9170,Senegal,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
9171,Senegal,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9172,Senegal,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,French,Not specified
9173,Senegal,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,French,Not specified
9174,Senegal,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9175,Senegal,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,French,Not specified
9176,Senegal,More than 10 years,45–64,Female,Asthma,0.0,0.0,0.0,French,Not specified
9177,Senegal,More than 10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,French,Not specified
9178,Senegal,More than 10 years,65 and over,Male,Asthma,0.0,0.0,0.0,French,Not specified
9179,Senegal,More than 10 years,65 and over,Female,Asthma,0.0,0.0,0.0,French,Not specified
9180,Sierra Leone,0–10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Krio,Not specified
9181,Sierra Leone,0–10 years,00–44,Male,Asthma,0.0,0.0,0.0,Krio,Not specified
9182,Sierra Leone,0–10 years,00–44,Female,Asthma,0.0,0.0,0.0,Krio,Not specified
9183,Sierra Leone,0–10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Krio,Not specified
9184,Sierra Leone,0–10 years,45–64,Male,Asthma,0.0,0.0,0.0,Krio,Not specified
9185,Sierra Leone,0–10 years,45–64,Female,Asthma,0.0,0.0,0.0,Krio,Not specified
9186,Sierra Leone,0–10 years,65 and over,Persons,Asthma,0.0,0.0,0.0,Krio,Not specified
9187,Sierra Leone,0–10 years,65 and over,Male,Asthma,0.0,0.0,0.0,Krio,Not specified
9188,Sierra Leone,0–10 years,65 and over,Female,Asthma,0.0,0.0,0.0,Krio,Not specified
9189,Sierra Leone,More than 10 years,00–44,Persons,Asthma,0.0,0.0,0.0,Krio,Not specified
9190,Sierra Leone,More than 10 years,00–44,Male,Asthma,0.0,0.0,0.0,Krio,Not specified
9191,Sierra Leone,More than 10 years,00–44,Female,Asthma,0.0,0.0,0.0,Krio,Not specified
9192,Sierra Leone,More than 10 years,45–64,Persons,Asthma,0.0,0.0,0.0,Krio,Not specified
9193,Sierra Leone,More than 10 years,45–64,Male,Asthma,0.0,0.0,0.0,Krio,Not specified
